Posted On,BHK,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Rent
2022-06-17,1.0,350.0,2 out of 4,Carpet Area,Laxmi Nagar,India-. Delhi,Semi-Furnished,"Bachelors/Famil{y,",1.0,Contact Agent,7000
2022-06-04,2.0,623.0,2 out of 3,Carpet Area,"Ganesh Nagar, Tilak Nagar",@-9 Delhi,Furnished,,1.0,Contact Owner,13500
2022-06-16,3.0,,3 out of 4,Carpet Area,Greater Kailash 2,India-\ Delhi,Semi-Furnished,,3.0,Contact Agent,95000
2022-05-18,1.0,,,,Malviya Nagar,India-/ Delhi,Unfurnished,Bache|lors/F|amily,1.0,Contact Agent,20000
2022-04-27,2.0,,1 out of 5,Carpet Area,Laxmi Nagar,'-9 Delhi,Semi-Furnished,Bachel#ors/Famil)y,1.0,Contact Owner,7500
2022-06-30,2.0,445.0,4 out of 4,Carpet Area,"Palam Colony, Palam",/-9 Delhi,Unfurnished,Bac$helo_rs/Family,2.0,Contact Owner,9000
,3.0,,1 out of 3,Carpet Area,Greater Kailash 2,India-^ Delhi,Furnished,Ba>ch\elors,3.0,Contact Agent,80000
2022-05-31,,,3 out of 4,Super Area,Model Town,India-( Delhi,Semi-Furnished,Bachelors;/Family&,,Contact Owner,50000
,1.0,550.0,1 out of 4,Carpet Area,Saket,!-9 Delhi,Semi-Furnished,B=ac}helors,,Contact Agent,13000
2022-05-18,1.0,,4 out of 4,Carpet Area,Chhattarpur,,Semi-Furnished,Bachelors-*,1.0 Bathrooms,,12000
2022-05-18,2.0,650.0,2 out of 4,Carpet Area,Chhattarpur,India-( Delhi,Semi-Furnished,Ba\chelors/Fa!mily,2.0,Contact Agent,16000
,2.0,70.0,,Super Area,Vikaspuri,@-9 Delhi,,,,Contact Owner,13000
2022-05-04,2.0,,1 out of 3,Carpet Area,South,,Semi-Furnished,Bac}helor]s/Family,2.0,Contact Owner,29000
,3.0,800.0,2 out of 3,,Hari Nagar Ashram,[-9 Delhi,,Bachelo(:rs/Family,1.0,Contact Owner,18000
2022-05-10,2.0,60.0,2 out of 2,Super Area,Najafgarh,India-} Delhi,Unfurnished,,1.0,Contact Owner,8500
2022-05-23,3.0,2000.0,,Carpet Area,,)-9 Delhi,Semi-Furnished,Ba}chelors/Family*,2.0,Contact Owner,27000
2022-05-09,2.0,600.0,,Carpet Area,"Arjun Nagar, Safdarjung Enclave",,Unfurnished,Ba?che]lors/Family,2.0,Contact Owner,18000
2022-06-07,,450.0,3 out of 4,Carpet Area,"Bhogal, Jangpura",?-9 Delhi,Semi-Furnished,"Bache=""lors",1.0,Contact Owner,11500
2022-07-07,2.0,2200.0,1 out of 4,Carpet Area,Defence Colony,#-9 Delhi,Unfurnished,,3.0,Contact Agent,80000
2022-06-20,2.0,600.0,1 out of 4,Carpet Area,dwarka sector 8 Raj Nagar extension part 2,,Unfurnished,,2.0,Contact Owner,15500
,4.0 room,,2 out of 4,Carpet Area,Dwarka sec 19,<-9 Delhi,Semi-Furnished,Bachelor;s./Family,3.0,Contact Agent,55000
2022-05-01,2.0,800.0,,Super Area,Malviya Nagar,)-9 Delhi,Semi-Furnished,Bachel^|ors/Family,2.0,Contact Owner,20000
,3.0,170.0,4 out of 4,,"Chitra Vihar, Swasthya Vihar",]-9 Delhi,Unfurnished,Bachelors/^Fami/ly,2.0,Contact Agent,35000
2022-05-18,2.0,150.0,Ground out of 4,Carpet Area,Malviya Nagar,'-9 Delhi,Unfurnished,Bach&e@lors/Family,,Contact Agent,38000
2022-05-04,2.0,650.0,3 out of 4,Carpet Area,Freedom Fighters Enclave,India-] Delhi,,Bac+h?elors/Family,,Contact Owner,16000
2022-06-21,3.0,1250.0,2 out of 4,Carpet Area,Chittaranjan Park Block B,<-9 Delhi,Semi-Furnished,,3.0,Contact Agent,50000
,1.0,600.0,,Super Area,Chhattarpur,+-9 Delhi,Semi-Furnished,Bac_helo[rs/Family,2.0,Contact Owner,9500
2022-07-07,4.0,2100.0,3 out of 3,Carpet Area,"Kailash hills, East Of Kailash",India-< Delhi,,;Bachelors/Family{,4.0,Contact Agent,90000
2022-06-08,1.0,450.0,,Super Area,Rohini Sector 18,{-9 Delhi,Unfurnished,{Ba'chelors,1.0,Contact Owner,10000
2022-06-12,2.0,100.0,2 out of 4,Carpet Area,Lajpat Nagar 1,;-9 Delhi,Unfurnished,Bachelors{;,2.0,Contact Owner,25000
2022-05-14,1.0 room,650.0Square Feet,3 out of 4,Super Area,Lajpat Nagar,India-+ Delhi,Furnished,Bac\%helors/Family,1.0,,30000
2022-05-18,2.0,48.0,1 out of 3,,Rohini Sector 16,<-9 Delhi,Unfurnished,Bachelors</Famil^y,2.0,Contact Owner,12000
2022-07-07,2.0,,4 out of 4,Carpet Area,,India-& Delhi,Semi-Furnished,Bachelors&^/Family,2.0,Contact Owner,16500
2022-06-04,,240.0,1 out of 2,Super Area,Dilshad Colony,+-9 Delhi,Unfurnished,Bachelo*rs/Famil}y,1.0,Contact Owner,4500
2022-06-22,2.0,700.0,,Carpet Area,Vasant Kunj Sector B,[-9 Delhi,Semi-Furnished,Ba^chelor)s,2.0,Contact Owner,30000
2022-07-03,1.0,48.0,1 out of 2,Super Area,,\-9 Delhi,Semi-Furnished,,1.0,Contact Owner,12000
2022-05-27,2.0,100.0,,Super Area,Mansarover Garden,)-9 Delhi,Unfurnished,/B)achelors/Family,2.0,Contact Owner,23000
2022-05-18,3.0,1901.0,9 out of 11,Super Area,"Unity the Amaryllis, Karol Bagh",India-{ Delhi,Semi-Furnished,"Bachelors/=Fami,ly",,Contact Owner,70000
2022-06-27,1.0,,1 out of 4,,,,,Ba:chelors/Famil%y,,Contact Owner,5500
2022-07-05,3.0,,3 out of 4,Carpet Area,Dakshini Pitampura,India-; Delhi,Semi-Furnished,/Bachel>ors,3.0,Contact Agent,35000
2022-05-27,2.0,145.0,,Super Area,Palam,#-9 Delhi,Unfurnished,Bache_lor!s/Family,2.0,Contact Owner,9000
2022-05-24,2.0,,2 out of 3,Carpet Area,"Arjun Nagar, Safdarjung Enclave",India-! Delhi,Unfurnished,Bachel;=ors/Family,,Contact Agent,22000
2022-06-09,3.0,1100.0,1 out of 3,Super Area,Kalkaji Extension,,Semi-Furnished,,4.0,Contact Owner,35000
2022-05-02,1.0,450.0,2 out of 2,Super Area,Dwarka Sector 7,?-9 Delhi,Semi-Furnished,Bac^he&lors/Family,1.0,Contact Owner,12000
2022-06-28,,300.0,3 out of 4,Carpet Area,Jhangir Puri,India-. Delhi,Unfurnished,Bachelors/:Fam-ily,1.0,,6000
2022-05-19,2.0,1040.0,,Carpet Area,"Janak Park, Hari Nagar",#-9 Delhi,Semi-Furnished,,3.0,Contact Owner,22000
2022-05-18,1.0,25.0,2 out of 5,,Ganga Vihar,|-9 Delhi,Unfurnished,&_Bachelors/Family,1.0,Contact Owner,5000
2022-06-04,2.0,900.0,,,"IGNOU Road, Saket",,Semi-Furnished,B:achelors/F@amily,2.0,Contact Owner,20500
2022-05-28,2.0,1100.0,3 out of 4,Super Area,Bijwasan,India-} Delhi,Unfurnished,,1.0,Contact Owner,7500
2022-07-01,2.0,380.0,,Super Area,Prem Nagar,&-9 Delhi,Unfurnished,,2.0,Contact Owner,5500
2022-06-02,,450.0,2 out of 2,Carpet Area,Gandhi Nagar,India-! Delhi,Semi-Furnished,Bach=elo=rs,,Contact Owner,25000
2022-07-02,1.0,550.0,,Carpet Area,,!-9 Delhi,,Ba[chelor>s,1.0,Contact Agent,13000
2022-06-04,,180.0,Ground out of 3,,Mukherjee Nagar,India-_ Delhi,Semi-Furnished,Bachelors/F:a#mily,1.0,Contact Owner,5000
2022-05-06,,1650.0,1 out of 3,Carpet Area,Dakshini Pitampura,.-9 Delhi,Semi-Furnished,Bach:elors/Famil'y,2.0,Contact Owner,40000
2022-05-31,1.0,250.0,1 out of 5,,"Inder Puri Block A, Inder Puri",(-9 Delhi,,Bachelors/Fam.il;y,1.0,Contact Owner,12500
2022-05-29,1.0,400.0,Ground out of 5,Carpet Area,,India-= Delhi,Unfurnished,Bachelor}s}/Family,,Contact Owner,6000
2022-07-04,,900.0,Ground out of 3,Carpet Area,Vivek Vihar Phase 2,India-> Delhi,Semi-Furnished,Bach%elors/F|amily,2.0,,15500
2022-05-27,3.0,1900.0,2 out of 3,Super Area,,*-9 Delhi,Furnished,Bachelors/[F^amily,3.0,Contact Owner,75000
2022-06-12,,892.0,2 out of 4,Carpet Area,Gautam Nagar,India-. Delhi,Unfurnished,Bach{elor?s/Family,2.0,Contact Owner,36000
,1.0,,Ground out of 4,Carpet Area,Chhattarpur Enclave,#-9 Delhi,,Bachelors{},,Contact Agent,13000
2022-06-29,3.0,100.0,,,"Mandakini Enclave, Alaknanda",India-[ Delhi,Unfurnished,Bach?el[ors,2.0,Contact Owner,45000
2022-06-22,2.0,,,,Ram Nagar,India-< Delhi,,Bachelors/|#Family,1.0,Contact Owner,2000
,2.0,80.0,1 out of 5,Super Area,Janakpuri,India-? Delhi,Semi-Furnished,Bachelors>/Family|,2.0,Contact Owner,28000
2022-05-12,2.0,,,Carpet Area,,%-9 Delhi,,"_Bachelors/Family,",,Contact Agent,9000
2022-04-29,,520.0,3 out of 4,Carpet Area,Geeta Colony,India-\ Delhi,Semi-Furnished,Bachelors/Fami?l?y,1.0,Contact Owner,12000
2022-04-29,,350.0,1 out of 5,Super Area,Rohini Sector 3,India-= Delhi,Furnished,|Bach>elors/Family,1.0,Contact Owner,13000
,2.0,600.0,,Carpet Area,Aya Nagar,India-$ Delhi,Semi-Furnished,\Bachelors:,2.0,Contact Owner,11000
2022-07-07,3.0,,,,,India-# Delhi,Furnished,Ba{ch(elors,,Contact Agent,35000
2022-05-13,2.0,,1 out of 4,,Laxmi Nagar,)-9 Delhi,Semi-Furnished,Bache}lors/Fam}ily,1.0,Contact Agent,10000
2022-07-07,,,1 out of 4,Carpet Area,Karol Bagh,India-# Delhi,Semi-Furnished,B'achelors*,,Contact Agent,20000
2022-07-07,2.0,850.0,2 out of 4,Carpet Area,Karol Bagh,,Semi-Furnished,Bachelor\s+,2.0,Contact Agent,25000
2022-06-12,1.0,200.0,3 out of 4,Carpet Area,kst chattarpur Apartments,|-9 Delhi,Unfurnished,Ba=chel[ors,1.0,Contact Agent,8000
2022-07-08,4.0,3000.0,1 out of 4,Carpet Area,"Safdarjung Development Area, Hauz Khas",;-9 Delhi,Semi-Furnished,,4.0,Contact Agent,150000
2022-06-16,3.0,1500.0,2 out of 3,Carpet Area,"Mahendru Enclave, Model Town",=-9 Delhi,Semi-Furnished,B_achelors/Fami]ly,3.0,Contact Owner,36000
2022-07-04,2.0,,,Super Area,Sultanpur,India-{ Delhi,,Ba!che_lors/Family,2.0,Contact Owner,12000
2022-05-10,,530.0,Ground out of 3,Super Area,"Palam Colony, Palam",,Unfurnished,,1.0,Contact Owner,8500
2022-05-27,3.0,800.0,,,kst chattarpur Apartments,India-( Delhi,Unfurnished,"Bac""$helors",2.0,Contact Agent,17000
2022-05-05,,45.0,1 out of 5,Super Area,Laxmi Nagar,India-= Delhi,Semi-Furnished,Bachel@ors/F.amily,1.0,Contact Owner,7500
2022-05-05,1.0,900.0,3 out of 4,Super Area,Kalkaji,,Furnished,Bache@lors/Family?,1.0,,16000
2022-05-10,1.0,450.0,1 out of 4,Super Area,Mehrauli,,Unfurnished,Bache?lors*/Family,1.0,,9000
2022-05-10,2.0,650.0,1 out of 4,Super Area,Rangpuri,@-9 Delhi,Unfurnished,"Bache""lors/Fami|ly",1.0,Contact Owner,8000
2022-05-10,2.0,900.0,,Super Area,Lajpat Nagar 1,@-9 Delhi,Furnished,,2.0,Contact Owner,45000
2022-05-04,2.0,900.0,4 out of 4,Carpet Area,RWA triveni residents,India-= Delhi,,";Bac""helors/Family",,Contact Owner,27000
2022-05-05,2.0,120.0,1 out of 4,Super Area,Dwarka Mor,#-9 Delhi,Semi-Furnished,Ba|c=helors/Family,2.0,Contact Owner,14000
2022-06-12,,600.0,2 out of 4,Carpet Area,kst chattarpur Apartments,|-9 Delhi,Unfurnished,"Bachel.o""rs",2.0,Contact Agent,14000
2022-05-21,2.0,,2 out of 4,Carpet Area,Laxmi Nagar,,Unfurnished,Bachelors/Fami{l<y,,Contact Owner,14000
,1.0 room,225.0,,Carpet Area,Kapi Bagan Basti,India-/ Delhi,Semi-Furnished,Bachel@or]s/Family,1.0,,7500
2022-06-10,,800.0,1 out of 4,,"Paryavaran Complex, Sainik Farm",[-9 Delhi,Unfurnished,Bac.\helors,1.0,,10000
,1.0,,4 out of 4,,Aya Nagar,India-/ Delhi,Semi-Furnished,Bac@he:lors,1.0,Contact Owner,7000
2022-04-29,,800.0,4 out of 5,Super Area,Mukherjee Nagar,\-9 Delhi,Furnished,Bachelor!s|/Family,2.0,Contact Owner,25000
2022-04-29,2.0,60.0,1 out of 3,Super Area,Mehrauli,,Semi-Furnished,Ba)chelors/Famil<y,1.0,Contact Owner,9000
2022-04-29,,,1 out of 24,Super Area,"Khanpur Extension, Sangam Vihar",/-9 Delhi,Unfurnished,Bach]el@ors/Family,2.0,Contact Owner,22000
2022-05-05,3.0,75.0,4 out of 5,Super Area,Sagar Pur,India-] Delhi,Unfurnished,Bachelors/F?amil=y,1.0,Contact Owner,10000
2022-05-05,,,1 out of 4,Super Area,Hastsal,",-9 Delhi",Unfurnished,B=a-chelors/Family,2.0,Contact Owner,11000
,1.0,200.0,3 out of 3,Super Area,Kamla Nagar,,Furnished,Bachel.}ors/Family,1.0,Contact Owner,12500
2022-05-14,3.0,800.0,2 out of 4,Carpet Area,kst chattarpur Apartments,!-9 Delhi,Unfurnished,Bachelo&r^s,2.0,,15000
,2.0,80.0,1 out of 3,,Kamla Nagar,India-? Delhi,Unfurnished,;Bachelors/Fam'ily,2.0,Contact Owner,35000
2022-05-10,,,2 out of 4,Super Area,Lajpat Nagar,India-- Delhi,Unfurnished,F=am>ily,2.0,Contact Owner,35000
2022-05-10,2.0,1125.0,2 out of 5,,Saket,India-& Delhi,Furnished,Bachelors/!Fami_ly,2.0,Contact Owner,52000
2022-04-29,3.0,900.0,,Super Area,Dwarka Mor,>-9 Delhi,,Bachelo-&rs/Family,,Contact Owner,15000
2022-06-04,2.0,,3 out of 3,Carpet Area,Rajouri Garden,$-9 Delhi,Unfurnished,[Bac;helors,2.0,,32000
2022-06-04,1.0,400.0,2 out of 4,Carpet Area,Lajpat Nagar 4,]-9 Delhi,Unfurnished,Bachelors/F:amil_y,1.0,,11500
,3.0,,1 out of 1,,"Prem Nagar, Patel Nagar",.-9 Delhi,,Bachelors/F}amily*,3.0,Contact Owner,45000
2022-07-07,2.0,700.0,4 out of 4,Carpet Area,Shadipur,India-$ Delhi,Unfurnished,,1.0,Contact Agent,16000
2022-05-21,2.0,1000.0,,Carpet Area,Krishna Nagar Block D,India-_ Delhi,Semi-Furnished,Bachelors/Fam)ily*,2.0,,20000
2022-05-27,,,3 out of 5,Super Area,,India-? Delhi,Semi-Furnished,_Bachelors/Fami{ly,1.0,,7000
2022-07-04,3.0,200.0,3 out of 3,Carpet Area,,|-9 Delhi,Unfurnished,Bac*helor*s,3.0,Contact Agent,85000
2022-05-28,1.0,200.0,4 out of 4,Super Area,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",_-9 Delhi,Furnished,,1.0,Contact Owner,15000
2022-07-03,2.0,800.0,3 out of 3,Super Area,Chhattarpur,India-[ Delhi,Furnished,,2.0,Contact Owner,22000
,2.0,1000.0,1 out of 3,Super Area,Lajpat Nagar 1,#-9 Delhi,Unfurnished,Bachelors/Fa:mi*ly,2.0,Contact Owner,32000
2022-07-01,2.0,500.0,4 out of 4,,"Vasant Kunj 2, Vasant Kunj",,,Bac|helo^rs,,Contact Owner,20000
2022-06-04,,300.0,3 out of 5,Super Area,Rajouri Garden,/-9 Delhi,,Bache'lors/Famil<y,1.0,Contact Owner,35000
2022-06-16,2.0,900.0,Ground out of 4,Carpet Area,Lajpat Nagar 1,!-9 Delhi,Unfurnished,,2.0,Contact Agent,35000
2022-07-07,3.0,240.0,1 out of 4,Carpet Area,Saket,^-9 Delhi,Unfurnished,Ba\chelors/Famil|y,,Contact Agent,65000
2022-05-12,2.0,650.0,Ground out of 3,Carpet Area,"Fateh Nagar, Janakpuri",^-9 Delhi,Semi-Furnished,Bachelors/F>amil]y,2.0,,15000
2022-06-18,3.0,,,Carpet Area,"Kotla, Mayur Vihar",,Semi-Furnished,B}achelor=s,2.0,,12000
2022-05-10,,,Ground out of 3,Super Area,Dwarka Sector 23,India-> Delhi,,,1.0,Contact Owner,8000
2022-05-28,1.0,500.0,2 out of 5,Super Area,Palam - Dabri Marg,=-9 Delhi,Semi-Furnished,"Bache^lor,s/Family",1.0,,11000
2022-05-10,2.0,450.0,4 out of 4,,Mansa Ram Park,India-( Delhi,Semi-Furnished,Bache\lors/<Family,2.0,,12000
2022-06-16,4.0,2800.0,Ground out of 4,,New Friends Colony,India-= Delhi,Semi-Furnished,Bachel&ors/Family+,4.0,Contact Agent,140000
2022-06-04,2.0,,1 out of 2,Super Area,Paschim Vihar,$-9 Delhi,Semi-Furnished,Bac/helors/Fa/mily,1.0,Contact Owner,24000
2022-06-04,1.0,400.0,3 out of 4,Carpet Area,Lajpat Nagar 4,India-; Delhi,Furnished,Bachelors/Fam|i!ly,1.0,Contact Agent,20000
2022-05-10,3.0,100.0,3 out of 4,Super Area,,--9 Delhi,Furnished,Bachelo\rs/Fam|ily,2.0,Contact Owner,16000
2022-06-04,1.0,400.0,3 out of 4,Carpet Area,Lajpat Nagar 4,"India-, Delhi",Semi-Furnished,Bachelors#/Fa=mily,1.0,,15000
2022-05-14,2.0,900.0,Ground out of 4,,Paschim Vihar,India-* Delhi,Semi-Furnished,Bachelors=/Fa\mily,2.0,Contact Agent,28500
2022-05-05,3.0,1350.0,,,Vasundhara Enclave,<-9 Delhi,Semi-Furnished,Fami))ly,3.0,Contact Owner,30000
2022-07-04,1.0,500.0,1 out of 4,Super Area,Laxmi Nagar,India-+ Delhi,Semi-Furnished,Bache({lors/Family,1.0,Contact Owner,16000
2022-07-06,3.0,1700.0,1 out of 4,,"Shivalik, Malviya Nagar",India-' Delhi,Furnished,,,,80000
2022-06-04,1.0,400.0,,Carpet Area,Lajpat Nagar 4,India-. Delhi,Unfurnished,Bachelor-s/;Family,1.0,Contact Agent,11000
2022-06-29,2.0,,2 out of 3,Super Area,"Jangpura Extension, Jangpura",]-9 Delhi,,Bachelo/rs/>Family,1.0,Contact Owner,21000
2022-07-04,3.0,1200.0,1 out of 4,Super Area,Najafgarh,India-! Delhi,,Bachelors/-Famil_y,2.0,,10500
2022-04-29,,50.0,2 out of 4,Carpet Area,Dwarka Sector 14,\-9 Delhi,Semi-Furnished,Bach+el)ors/Family,,,15000
2022-07-06,3.0,,2 out of 3,Super Area,Hari Nagar,India-# Delhi,Semi-Furnished,B%achelors/@Family,,Contact Agent,16000
,,1000.0,2 out of 3,Super Area,"Kailash Colony, Greater Kailash",/-9 Delhi,Furnished,Bac\helo<rs/Family,2.0,,45000
,,63.0,4 out of 4,Super Area,Rohini Sector 2,,Furnished,Bac]helors/F@amily,1.0,Contact Owner,6000
2022-05-19,3.0,1800.0,Ground out of 3,Super Area,Vasant Kunj,India-: Delhi,Semi-Furnished,,2.0,Contact Owner,40000
,2.0,1440.0,2 out of 3,Carpet Area,Chittaranjan Park,^-9 Delhi,Semi-Furnished,Bac]he%lors,2.0,Contact Agent,36000
2022-05-27,2.0,55.0,Ground out of 4,Super Area,Uttam Nagar,"India-"" Delhi",Unfurnished,Ba]chelors/Fami'ly,2.0,Contact Owner,12000
2022-05-27,,1500.0,1 out of 12,,"The Shabad Apartment, Dwarka Sector 13",+-9 Delhi,,Bache_l_ors,3.0,Contact Owner,45000
2022-06-18,2.0,400.0,3,Super Area,"Kasturba Niketan, Lajpat Nagar 2",,Unfurnished,Bachelors;&/Family,1.0,Contact Owner,20000
2022-06-11,3.0,,1 out of 4,Carpet Area,Krishna Nagar,/-9 Delhi,Furnished,Bach.elors/Famil)y,2.0,Contact Owner,10000
2022-06-29,2.0,500.0,1 out of 3,Super Area,Sangam Vihar,<-9 Delhi,Unfurnished,Bachelo:r$s/Family,,Contact Owner,5000
2022-05-27,2.0,100.0Square Feet,Ground out of 3,Super Area,Rohini Sector 38,#-9 Delhi,Unfurnished,Bachel\ors/&Family,2.0,Contact Owner,8000
2022-05-10,,455.0,,Super Area,"DDA Akshardham Apartments, DS 19",:-9 Delhi,,Bachelors/Fa>mily_,1.0,Contact Owner,13000
,2.0,80.0,3 out of 4,Carpet Area,Anand Parbat,+-9 Delhi,Semi-Furnished,=Bachelors/Fam$ily,1.0,Contact Owner,15000
2022-07-04,2.0,450.0,Ground out of 2,Super Area,Burari,India-] Delhi,Unfurnished,<Bachel#ors/Family,1.0,Contact Owner,7500
2022-06-08,1.0,400.0,,Super Area,"Qutub Vihar, Dwarka",--9 Delhi,Unfurnished,,1.0,,6000
2022-05-23,,300.0,1 out of 3,Super Area,Vasant Kunj,.-9 Delhi,Unfurnished,Bachel'ors/Famil|y,,Contact Owner,100000
2022-05-14,2.0,700.0,2 out of 3,Super Area,Rohini Sector 23,India-. Delhi,Semi-Furnished,|Bachelors/F=amily,2.0,Contact Owner,12000
2022-05-10,,600.0,,Super Area,"Mohan Garden, Razapur Khurd",India-^ Delhi,Semi-Furnished,,2.0,Contact Owner,10000
2022-05-10,,800.0,2 out of 3,Super Area,"Bharthal, Dwarka",,Semi-Furnished,,2.0,Contact Owner,10000
2022-05-23,2.0,950.0,2 out of 3,Super Area,"Chanakya Place, Sitapuri",India-] Delhi,Unfurnished,Bache^lo$rs/Family,2.0,Contact Owner,12000
2022-07-06,2.0,450.0,4 out of 4,Super Area,Shadipur,India-= Delhi,Semi-Furnished,B:achelors/Famil:y,1.0,Contact Owner,15000
2022-06-30,1.0,450.0,1 out of 3,Carpet Area,Radhey Shyam Park,{-9 Delhi,,,1.0,Contact Owner,10000
2022-07-04,2.0,,3 out of 5,,Uttam Nagar,>-9 Delhi,Unfurnished,Bac%he?lors/Family,1.0,Contact Owner,12000
2022-06-18,2.0,850.0,2 out of 4,Carpet Area,"Rajpur Khurd Extension, Rajpur",India-[ Delhi,Unfurnished,"&Bachel,ors/Family",2.0,Contact Agent,14500
2022-06-29,2.0,,3 out of 4,Super Area,,+-9 Delhi,Semi-Furnished,B}achelors/Fam;ily,2.0,Contact Owner,18500
2022-06-04,1.0,600.0,4 out of 4,Carpet Area,Rajouri Garden,)-9 Delhi,Furnished,B+)achelors,1.0,Contact Agent,24000
2022-05-27,2.0,65.0,,,New Ashok Nagar,India-. Delhi,Unfurnished,Bach!elors/Famil/y,1.0,Contact Owner,11000
2022-05-19,3.0,,1 out of 1,Carpet Area,Vasant Kunj,,Semi-Furnished,Ba*chelo^rs,,,52000
2022-07-06,3.0,1800.0,Ground out of 4,Carpet Area,Lajpat Nagar 3,^-9 Delhi,Semi-Furnished,"B[achelors/F,amily",3.0,Contact Agent,70000
2022-07-04,2.0,1000.0,3 out of 4,Super Area,Uttam Nagar,India-{ Delhi,Semi-Furnished,Ba#chelo^rs/Family,1.0,Contact Owner,12000
2022-07-09,2.0,900.0,2 out of 4,Carpet Area,Patparganj,^-9 Delhi,,Bachelor#}s,2.0,,22000
,4.0,2300.0,1 out of 1,Super Area,Shanti Niketan,&-9 Delhi,,Bachelors/Famil@'y,4.0,Contact Owner,200000
2022-05-01,2.0,,,Super Area,Green Park,India-< Delhi,Unfurnished,Bac<helors/Famil{y,2.0,Contact Owner,20000
,3.0,,,Carpet Area,Paschim Vihar Block B1,?-9 Delhi,Semi-Furnished,"Bach@elors""",3.0,,45000
2022-05-23,1.0,200.0,2 out of 4,Carpet Area,kst chattarpur Apartments,India-\ Delhi,Unfurnished,Bach%el_ors,1.0,Contact Agent,8000
,1.0,200.0,2 out of 4,Carpet Area,,India-{ Delhi,,,1.0,Contact Agent,8000
2022-05-18,2.0,450.0,3 out of 4,Carpet Area,Laxmi Nagar,(-9 Delhi,Semi-Furnished,Bachelors^/|Family,1.0,,9500
2022-07-07,2.0,750.0,1 out of 4,,Karol Bagh,India-^ Delhi,Furnished,Bach!elors#,2.0,Contact Agent,25000
2022-05-27,2.0,400.0,1 out of 4,Carpet Area,kst chattarpur Apartments,--9 Delhi,,,1.0,Contact Agent,12000
2022-06-11,2.0,84.0,1 out of 4,Carpet Area,Paschim Vihar,--9 Delhi,Semi-Furnished,Bac]h<elors,2.0,Contact Agent,24000
2022-05-05,2.0,90.0,2 out of 3,Super Area,Rohini Sector 8,India-> Delhi,Unfurnished,Bachelor's/Famil{y,2.0,Contact Owner,27000
2022-07-04,2.0,90.0,2 out of 4,Super Area,Mansarovar garden,,Semi-Furnished,Bachelors/Fam%il|y,2.0,Contact Owner,18000
2022-06-20,2.0,,1 out of 3,,Lajpat Nagar,,Semi-Furnished,Bachelo:-rs/Family,2.0 Bathrooms,Contact Owner,17000
2022-05-10,2.0,,4 out of 5,Super Area,Adarsh Nagar,",-9 Delhi",Unfurnished,Bache+lo>rs/Family,2.0,Contact Owner,15000
2022-05-23,1.0,,1 out of 3,Carpet Area,,India-@ Delhi,Furnished,;Bache<lors/Family,1.0,,13000
2022-06-11,3.0 room,1500.0,1 out of 3,Carpet Area,Vasant Kunj,India-& Delhi,Semi-Furnished,,3.0,Contact Agent,70000
2022-07-09,1.0,446.0,2 out of 4,Super Area,,#-9 Delhi,Unfurnished,Bachelo+r]s/Family,1.0,,14000
2022-05-14,3.0,1100.0,4 out of 5,Super Area,"Gagan Vihar, Krishna Nagar",,Semi-Furnished,Bachelors/Fam+ily$,2.0,Contact Owner,32000
2022-05-10,1.0,125.0,1 out of 2,Super Area,Sangam Vihar,,,,,Contact Owner,4000
2022-05-10,3.0,1800.0,3 out of 5,,Gautam Nagar,,Furnished,_Bachelor#s/Family,3.0,,100000
2022-06-16,3.0,1300.0,1 out of 4,Super Area,Chhattarpur,]-9 Delhi,Unfurnished,Bachelor_s//Family,2.0,Contact Agent,20000
,3.0,2000.0,7 out of 10,Super Area,,/-9 Delhi,Semi-Furnished,Fam=ily+,2.0,Contact Owner,30000
2022-06-14,2.0,1200.0,2 out of 3,Carpet Area,Greater Kailash 1,India-$ Delhi,,^Bachel/ors,2.0,Contact Owner,150000
2022-06-30,,,1 out of 4,Super Area,,,,Bachelor^]s,2.0,Contact Owner,19500
2022-05-24,2.0,730.0,2 out of 3,Carpet Area,"Arjun Nagar, Safdarjung Enclave",,Unfurnished,Bach\elors/Family^,2.0,Contact Agent,18000
2022-05-07,2.0,160.0,3 out of 3,Carpet Area,Dr Mukherjee Nagar West,&-9 Delhi,Semi-Furnished,Bachel=ors/F#amily,,Contact Owner,25000
2022-05-05,2.0,,Ground out of 2,Super Area,Janakpuri Block B1,India-$ Delhi,Unfurnished,B?achelo|rs/Family,2.0,Contact Owner,18000
2022-05-05,,450.0,1 out of 5,Super Area,Paschim Vihar,India-@ Delhi,Furnished,Bac=helors/F>amily,1.0,Contact Owner,10000
2022-05-05,2.0,75.0,2 out of 4,Super Area,Mehrauli,!-9 Delhi,,Bachelors/Fa:mil|y,2.0,Contact Owner,12000
2022-06-18,3.0,2000.0,1 out of 3,Super Area,,"India-, Delhi",Semi-Furnished,Ba-che|lors,3.0,Contact Agent,25000
2022-06-18,4.0,2400.0,,Super Area,Preet Vihar,,Unfurnished,Bac/h;elors,3.0,,40000
,2.0,,Ground out of 2,Super Area,"Karkardooma, Anand Vihar",India-; Delhi,Semi-Furnished,Ba!chelor(s,,Contact Agent,30000
